Pai;Pwh;Pwi;Pwb;wiv;wro;wpc;wpg;wpo;wrg;wrh;wtg;wto;ro_w;ro_a;ro_r;Prh;Pm;x1;x2;x3;x4;x5;estado;GOR;u1;w_inj
10913544,610417522;10845224,295694964;10881285.250475839;14909625.46572736;0.19847084264142248;4.132621739908472;4,402684200826053;0,23398174968866967;4,168702451137072;0.04132621739908473;4,43510672618668;0,23398145749757188;4,2011252686872895;819,3678348238427;122,10890691982883;424,6238905625809;2000463,5903534237;4083243,773562883;2603,7931509819796;750,9420636509848;13381,941869220214;128,68940513231175;2312,688734792324;1;0,01;0,1;0,2
11578353,587784225;11415053,964628845;11455632.264006913;14920973.963663395;0.39872490424820467;4.053182254356227;4,514207810593117;0,4345809015115008;4,0796269090812425;0.04053182254356227;4,523267298012108;0,43458063639288574;4,088686661615845;704,2035362746748;129,547287430891;233,06469575788103;2000878,0259260223;3144060,3586184285;2762,4056938148924;1169,2722433057468;10977,197779436996;128,71606568617568;1211,2910937263912;1;0,01;0,1;0,4
12190976,1566498;11884300,803495225;1.19271e+07;1.49583e+07;0.599902;3.79201;4,431439508878505;0,6374497185122067;3,7939897903658797;0.0379201;4,4318306885514;0,6374496957868093;3,794380992759639;615,4704126006415;136,40176733718891;155,67634764673144;2001261,6639296135;2764854,1491368315;2908,5674135760896;1527,074304043007;9088,880503691531;128,7407450388549;766,3215453671162;1;0,01;0,1;0,6000000000000001
12757032,789376799;12264576,263274346;1.23088e+07;1.50041e+07;0.799903;3.47101;4,307189118514528;0,8342291723255111;3,47295994618856;0.0347101;4,307462080639679;0,8342291479208036;3,473232932712397;546,8792418256858;142,735232690969;115,63675423845463;2001604,5270120509;2568802,8065516707;3043,619262995899;1826,9840323594956;7605,874473345311;128,76280134936886;536,0915562223782;1;0,01;0,1;0,8
13304691,534889495;12588015,39058991;1.26331e+07;1.50517e+07;0.999903;3.13841;4,171220443553227;1,0308967658814105;3,1403236776713235;0.0313841;4,171428069693755;1,0308967403241438;3,1405313293616066;490,3530339631988;148,86284871004;90,63538804079171;2001919,8695472896;2446486,447887373;3174,2816775958418;2090,3200325127723;6367,544946557407;128,78308726882696;392,3257339357683;1;0,01;0,1;1,0
13843234,1029543;12868128,372696111;1.29137e+07;1.50993e+07;1.1999;2.80471;4,034148723432882;1,2275583528664489;2,8065903705659045;0.0280471;4,034314810940135;1,2275583266965304;2,8067564842340738;442,79463716866184;154,88846611150447;73,62391905046246;2002210,6533044805;2363335,9762469986;3302,7691214370357;2324,0446859598806;5313,508250869673;128,80179332722037;294,49946347968887;1;0,01;0,1;1,2
14378129,159509167;13114193,901208796;1.31599e+07;1.51465e+07;1.3999;2.47417;3,9002484119408254;1,4242564139658789;2,475991997974384;0.0247417;3,900385460274624;1,424256387712712;2,4761290725508567;402,1744950007644;160,87327242368906;61,35767927641884;2002479,39734979;2303438,8142006244;3430,3863287211134;2533,1582489083007;4403,757281622477;128,81908157554966;223,95734064480754;1;0,01;0,1;1,4000000000000001
14912615,42703853;13332867,68127067;1.33785e+07;1.51931e+07;1.5999;2.14859;3,771353994759836;1,6210098451354302;2,15034414962381;0.0214859;3,7714690646734925;1,6210098193472202;2,1504592453136904;367,0791459598364;166,85350489823912;52,13488923849117;2002728,3032751295;2258449,9349899287;3557,9060056332723;2721,4474156595743;3610,1252230725854;128,83509364176288;170,91483033357179;1;0,01;0,1;1,6
15448594,878225641;13529107,486530643;1.35743e+07;1.52388e+07;1.7999;1.82874;3,6482292262045934;1,8178267374824146;1,8304024887215498;0.0182874;3,6483265407338132;1,8178267127088674;1,8304998280108373;336,47994316848553;172,850444229341;44,97745388267788;2002959,324149949;2223573,735444484;3685,78193173119;2891,8877513809684;2911,8938719990624;128,84995516640998;129,7482422952443;1;0,01;0,1;1,8
15987153,942611018;13706732,19813602;1.37512e+07;1.52836e+07;1.99991;1.51487;3,5311298084133775;2,014709905211432;1,5164199032012842;0.0151487;3,5312119871447902;2,014709881976539;1,516502105152617;309,6030030117755;178,87624620398913;39,28362077447446;2003174,2130313653;2195860,3729301626;3814,273311324521;3046,8837469856135;2293,3103891126257;128,86377892328932;96,99768376743653;1;0,01;0,1;2,0
10493866,526232291;10403069,774273438;1.04598e+07;1.46594e+07;0.199902;5.884;6,14551670995487;0,25825117441806106;5,8872655355363905;0.05884;6,149508589362065;0,2582511229944357;5,891257466365622;852,8981035748213;117,41323434529706;533,0448246294765;2000709,4423234842;4615294,307131066;2503,664827854436;618,2055947695436;14093,0259084544;128,70522073821945;2936,0398663227033;1;0,01;0,2;0,2
11017671,634272909;10821023,978622848;1.08879e+07;1.46372e+07;0.399903;6.03951;6,501700652350106;0,45992874263124967;6,041771909718361;0.0603951;6,502859572001829;0,4599287005739562;6,0429308714243;760,3363630417042;123,27395801163077;316,6032086170078;2001335,652370609;3554274,3906370327;2628,636154902813;927,7291936791264;12186,949113311128;128,74550469981764;1691,5669405643637;1;0,01;0,2;0,4
11546456,633277731;11195445,156059945;1.12679e+07;1.46617e+07;0.599903;5.86821;6,528507384129542;0,6582272827231876;5,870280101405804;0.0586821;6,529148984641509;0,6582272393223952;5,8709217453140035;687,4405726495551;129,19040042599053;222,18190053263868;2001918,6885322994;3091720,910644892;2754,7956024425703;1195,498460700459;10661,835219100907;128,7830112943792;1148,6534380034511;1;0,01;0,2;0,6000000000000001
12073247,440451724;11523405,371362174;1.15996e+07;1.46999e+07;0.799903;5.60102;6,458549211171809;0,8555578517543612;5,6029913594168494;0.0560102;6,458978639368041;0,855557806595559;5,60342083276584;627,3043261530394;135,08453032930612;169,14581101899964;2002466,4166858455;2832126,6197340386;2880,4792684451445;1433,324656977676;9386,747666235888;128,81824653214807;843,6868212691395;1;0,01;0,2;0,8
12601044,631687772;11812968,563117824;1.18919e+07;1.47434e+07;0.999904;5.29643;6,350836121937713;1,0525147321605113;5,298321389776563;0.0529643;6,351151477142971;1,052514685740375;5,298636791394428;576,3561643795439;140,98992041088147;135,2331109669795;2002982,784674344;2666301,193967378;3006,403041216104;1647,5556798624957;8293,736166091108;128,85146437704645;648,6722883994782;1;0,01;0,2;1,0
13132298,381335642;12071357,375523398;1.21524e+07;1.47891e+07;1.1999;4.97601;6,227139008893594;1,2493155177866182;4,977823491106297;0.0497601;6,2273834616545605;1,249315470759488;4,978067990885379;532,403137886889;146,93398505552858;111,7372542813184;2003470,66920768;2551541,9014575467;3133,151492259793;1842,3666404206351;7340,800471416876;128,88284988722071;513,551304385611;1;0,01;0,2;1,2
13668340,36403334;12304182,733798185;1.23869e+07;1.48358e+07;1.3999;4.64937;6,097161279444905;1,44605750567487;4,65110377376932;0.0464937;6,097357021845271;1,4460574587831525;4,651299563050901;493,9757502258166;152,93162403598163;94,54110360204491;2003932,4443268972;2467656,5574949277;3261,0423373528492;2020,7630474329214;6499,588431943082;128,91255578423556;414,652205380247;1;0,01;0,2;1,4000000000000001
